0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
<<<<<<< HEAD
5	2	1	3	2	1	1	3	2	5	2	3	4	2	1	3	2	6	1	2	3	3	2	1	2	2	2	1	2	1	3	1	2	1	2	1	1	3	4	2	1	1	5	1	3	2	2	3	2	2	4
10	4	3	5	6	3	4	4	3	5	2	4	5	3	5	6	2	5	7	5	9	6	6	4	7	6	6	8	6	4	8	3	4	4	2	2	4	4	12	6	2	7	4	1	4	3	5	2	3	4	5
15	8	6	6	6	5	5	2	7	9	3	8	8	9	8	6	2	6	12	6	20	8	5	10	6	10	5	17	5	7	14	4	13	4	4	3	5	5	22	9	6	6	6	1	12	6	8	4	6	10	12
20	14	10	7	9	7	3	4	10	12	7	7	11	16	15	11	6	13	13	12	47	20	15	11	13	21	8	31	11	6	16	2	16	3	10	4	4	7	27	20	9	12	12	2	14	7	10	3	13	14	15
25	8	9	7	14	13	3	9	16	25	8	12	16	17	18	9	12	14	23	12	64	27	15	17	16	26	6	44	22	9	28	3	26	7	17	11	6	13	41	23	8	18	21	4	21	8	17	3	11	17	18
30	13	10	15	14	20	6	13	34	40	6	10	16	27	27	15	20	22	35	15	94	41	21	28	22	38	11	59	35	7	35	10	31	14	30	20	8	21	61	30	15	26	24	11	24	16	17	4	11	19	24
35	21	18	15	20	41	5	14	54	40	9	13	24	37	34	18	18	37	47	25	129	69	25	47	38	45	17	75	51	10	66	26	43	26	40	36	13	34	91	66	23	35	36	13	34	21	24	8	13	30	26
40	31	22	35	34	49	8	12	78	66	18	21	32	44	43	29	36	40	56	27	183	92	44	76	52	72	24	100	73	20	67	28	68	36	60	56	12	39	116	87	36	39	52	14	41	31	34	14	14	32	28
45	34	33	40	45	77	11	22	116	72	22	24	62	57	44	32	53	75	90	45	260	132	60	104	58	97	39	150	87	19	84	40	92	42	75	75	18	58	137	122	41	58	62	21	70	42	46	19	23	51	40
50	50	55	44	56	98	15	30	166	100	28	27	71	87	48	41	70	109	123	59	325	167	67	137	73	126	57	208	149	18	102	54	122	71	108	71	20	71	205	146	53	77	72	20	89	52	49	25	20	58	61
55	90	69	50	88	120	18	40	259	132	42	29	92	103	67	58	93	152	182	75	421	234	74	184	100	182	90	294	176	32	148	69	156	83	151	114	25	73	259	194	82	105	109	20	119	71	75	24	25	80	68
60	121	112	74	119	159	22	65	339	192	65	39	131	133	91	83	146	203	264	98	569	305	96	254	136	227	138	367	250	29	195	88	208	119	212	134	34	96	366	308	136	137	174	34	159	88	110	31	41	134	85
65	176	149	92	161	229	26	95	441	253	93	55	167	161	139	106	217	283	339	127	757	397	130	362	174	308	166	540	334	51	301	120	315	194	284	181	51	136	473	411	191	198	209	49	215	129	157	50	37	167	121
70	253	210	105	178	296	45	122	573	381	99	73	224	214	173	114	281	375	430	190	958	511	173	479	234	430	207	749	473	93	462	196	443	229	398	227	60	178	639	548	262	252	289	64	298	152	220	54	51	195	144
