0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
<<<<<<< HEAD
5	4	2	1	5	1	2	1	2	4	2	2	4	3	1	3	2	2	4	2	1	1	2	4	1	2	2	1	2	1	3	NA	1	3	1	4	3	2	2	3	1	1	1	3	3	2	1	2	2	2	3
10	5	10	5	6	5	6	3	5	7	5	3	10	3	3	4	4	6	10	6	4	5	4	7	4	6	9	3	5	4	6	NA	4	7	5	4	10	1	2	4	1	1	4	13	3	4	5	3	3	4	7
15	10	12	12	6	15	15	6	12	10	7	6	17	13	4	11	2	7	14	3	14	9	14	14	9	10	17	8	8	9	12	NA	6	17	7	8	14	4	5	8	2	5	8	21	13	4	11	6	6	14	16
20	12	22	14	11	18	29	9	12	16	8	12	30	10	9	13	11	7	28	10	19	15	29	25	9	21	29	10	19	15	12	NA	8	18	11	14	28	9	10	15	5	8	21	45	12	9	19	12	8	19	13
25	13	23	36	23	31	42	13	24	26	12	14	43	32	14	18	23	14	46	23	46	17	40	36	11	44	45	21	34	17	13	NA	16	35	26	24	44	17	15	16	9	13	21	81	23	16	36	20	13	30	28
30	21	45	50	39	53	57	33	25	36	16	27	62	46	23	15	35	20	83	40	72	28	65	61	21	77	93	23	49	31	26	NA	22	45	43	50	64	32	25	32	13	19	26	139	36	29	47	26	19	48	48
35	22	57	85	60	93	96	53	40	51	25	40	74	65	36	32	47	39	133	64	101	55	103	90	18	81	140	47	71	41	50	NA	30	83	47	78	83	41	33	44	35	34	41	243	50	44	82	40	22	89	65
40	24	99	123	79	156	140	75	51	70	28	58	117	108	49	51	75	70	205	103	154	88	167	144	22	131	187	80	116	64	77	NA	35	125	74	131	123	58	58	70	51	47	49	357	70	41	133	68	56	125	111
45	37	157	201	102	250	243	129	86	96	65	69	171	163	68	74	97	90	302	134	229	133	235	250	46	221	303	133	168	90	135	NA	52	203	104	196	191	88	84	110	64	49	86	529	111	64	177	101	98	187	190
50	45	236	278	156	384	349	153	126	145	88	99	253	214	103	106	139	134	429	180	323	214	353	406	50	322	468	223	249	138	195	NA	62	292	164	295	262	114	136	186	98	89	118	781	163	88	267	168	169	277	259
55	77	315	439	211	582	488	240	180	209	113	168	349	343	173	151	220	203	686	282	523	310	547	596	82	492	721	366	379	193	253	NA	99	432	284	416	405	181	195	305	150	131	189	1147	261	151	425	278	258	433	380
60	118	478	653	302	929	804	374	272	332	144	286	491	488	252	216	320	307	982	387	774	453	786	881	114	753	1019	511	549	312	429	NA	124	701	393	578	597	284	300	435	214	185	259	1514	375	183	647	413	397	575	576
65	166	751	952	442	1286	1113	550	414	488	240	351	760	691	377	335	470	461	1427	524	1007	689	1113	1273	184	1071	1436	763	811	446	640	NA	185	1028	564	910	895	405	472	674	292	291	400	2060	608	293	902	638	610	822	851
70	245	1080	1274	622	1811	1486	816	602	731	370	528	1098	1001	562	519	674	654	1900	741	1581	968	1527	1845	270	1547	1940	1140	1110	657	892	NA	267	1503	821	1243	1244	589	663	972	431	427	598	2751	937	502	1244	852	901	1162	1245
