0	6.25e-06	6.25e-06	6.25e-06	6.25e-06	6.25e-06	1.25e-05	1.875e-05	6.25e-06	6.25e-06	6.25e-06	6.25e-06	1.25e-05	1.25e-05	6.25e-06	1.25e-05	6.25e-06	1.25e-05	6.25e-06	1.25e-05	6.25e-06	1.25e-05	1.25e-05	6.25e-06	6.25e-06	6.25e-06	6.25e-06	6.25e-06	1.875e-05	6.25e-06	6.25e-06	6.25e-06	1.25e-05	1.25e-05	1.25e-05	1.25e-05	6.25e-06	1.25e-05	6.25e-06	6.25e-06	1.25e-05	6.25e-06	6.25e-06	1.25e-05	6.25e-06	1.25e-05	6.25e-06	6.25e-06	1.25e-05	6.25e-06	6.25e-06	6.25e-06	1.875e-05	6.25e-06	1.25e-05	6.25e-06	6.25e-06	1.25e-05	6.25e-06	1.25e-05	6.25e-06	6.25e-06	1.25e-05	1.25e-05	6.25e-06	1.25e-05	6.25e-06	6.25e-06	1.875e-05	6.25e-06	1.25e-05	6.25e-06	6.25e-06	1.25e-05	6.25e-06	6.25e-06	1.25e-05	1.25e-05	1.25e-05	6.25e-06	1.25e-05	6.25e-06	1.25e-05	6.25e-06	6.25e-06	6.25e-06	1.25e-05	6.25e-06	6.25e-06	6.25e-06	1.25e-05	1.25e-05	1.25e-05	6.25e-06	1.25e-05	6.25e-06	1.25e-05	6.25e-06	1.25e-05	6.25e-06	6.25e-06
5	2.5e-05	1.25e-05	6.25e-05	6.25e-06	NA	4.375e-05	6.875e-05	1.25e-05	2.5e-05	1.875e-05	6.25e-05	2.5e-05	1.25e-05	2.5e-05	NA	6.25e-06	4.375e-05	1.25e-05	5e-05	1.25e-05	3.75e-05	2.5e-05	4.375e-05	1.25e-05	NA	3.75e-05	2.5e-05	7.5e-05	1.875e-05	3.125e-05	1.25e-05	5e-05	3.75e-05	5.625e-05	8.125e-05	6.875e-05	2.5e-05	3.75e-05	3.75e-05	5e-05	1.25e-05	6.25e-06	6.25e-05	2.5e-05	5e-05	3.75e-05	2.5e-05	1.25e-05	6.25e-06	3.125e-05	1.875e-05	5e-05	3.125e-05	3.125e-05	NA	1.875e-05	5e-05	2.5e-05	3.75e-05	1.875e-05	NA	1.875e-05	5e-05	1.875e-05	2.5e-05	1.25e-05	3.75e-05	3.125e-05	1.875e-05	3.75e-05	3.75e-05	NA	1.875e-05	4.375e-05	2.5e-05	5e-05	3.125e-05	4.375e-05	1.25e-05	5.625e-05	6.25e-06	1.875e-05	6.25e-06	2.5e-05	1.875e-05	1.875e-05	1.25e-05	3.75e-05	2.5e-05	1.25e-05	6.25e-05	3.125e-05	3.125e-05	6.25e-05	2.5e-05	7.5e-05	1.25e-05	3.75e-05	1.875e-05	3.125e-05
10	8.125e-05	3.125e-05	8.125e-05	3.125e-05	NA	5.625e-05	0.00011875	4.375e-05	4.375e-05	3.75e-05	1e-04	NA	NA	7.5e-05	NA	NA	8.125e-05	6.25e-05	6.25e-05	5e-05	1e-04	4.375e-05	8.125e-05	2.5e-05	NA	6.25e-05	5e-05	0.0001375	5.625e-05	6.875e-05	1.875e-05	0.00010625	8.75e-05	0.00010625	0.00015625	8.75e-05	6.875e-05	6.875e-05	0.00010625	6.875e-05	3.75e-05	NA	9.375e-05	2.5e-05	0.00010625	9.375e-05	1e-04	NA	3.125e-05	4.375e-05	6.875e-05	6.25e-05	3.75e-05	6.875e-05	NA	1.875e-05	8.125e-05	6.25e-05	8.125e-05	3.125e-05	NA	3.75e-05	8.125e-05	6.875e-05	8.125e-05	4.375e-05	6.25e-05	7.5e-05	4.375e-05	6.25e-05	7.5e-05	NA	2.5e-05	8.75e-05	3.75e-05	6.25e-05	3.125e-05	1e-04	NA	8.125e-05	3.125e-05	NA	2.5e-05	5.625e-05	2.5e-05	NA	3.125e-05	9.375e-05	4.375e-05	NA	0.000125	5e-05	5e-05	8.125e-05	3.125e-05	0.00014375	1.875e-05	6.25e-05	2.5e-05	6.25e-05
15	0.00013125	5.625e-05	0.000125	7.5e-05	NA	5.625e-05	0.000175	5e-05	6.25e-05	6.875e-05	0.000125	NA	NA	7.5e-05	NA	NA	8.125e-05	8.75e-05	6.875e-05	8.125e-05	0.0001375	8.125e-05	0.00014375	NA	NA	8.75e-05	9.375e-05	0.00019375	9.375e-05	9.375e-05	3.75e-05	0.000175	0.0001125	0.000125	0.00024375	1e-04	0.00011875	8.75e-05	0.00016875	0.00010625	0.0001125	NA	0.0001125	NA	0.0001375	0.00011875	0.0001625	NA	6.25e-05	NA	0.00011875	NA	NA	8.125e-05	NA	NA	0.000125	0.00010625	0.00018125	NA	NA	5e-05	0.00010625	0.0001625	0.00011875	4.375e-05	6.25e-05	1e-04	0.00010625	7.5e-05	9.375e-05	NA	3.125e-05	0.0001125	6.25e-05	6.875e-05	NA	0.00014375	NA	1e-04	7.5e-05	NA	6.25e-05	7.5e-05	NA	NA	1e-04	0.0001625	6.875e-05	NA	0.00015	9.375e-05	1e-04	1e-04	4.375e-05	0.0002125	NA	9.375e-05	NA	0.00011875
20	0.00016875	7.5e-05	0.0001625	0.00010625	NA	NA	2e-04	6.875e-05	7.5e-05	9.375e-05	0.00014375	NA	NA	NA	NA	NA	NA	1e-04	8.75e-05	0.00011875	0.0002125	0.00011875	0.00020625	NA	NA	0.000125	2e-04	0.0002375	0.00011875	1e-04	9.375e-05	0.00021875	0.0001375	0.00015	0.00040625	NA	0.00020625	0.000125	0.00023125	0.00015625	0.00011875	NA	0.0001125	NA	0.00018125	0.00013125	2e-04	NA	0.0001125	NA	0.00016875	NA	NA	NA	NA	NA	0.00015	0.000125	0.00025625	NA	NA	NA	0.0001125	0.0001875	0.00015	6.875e-05	NA	0.00011875	0.00019375	NA	9.375e-05	NA	5e-05	0.00013125	0.00011875	NA	NA	0.0001625	NA	0.0001125	0.00010625	NA	8.125e-05	8.125e-05	NA	NA	0.00015	0.0002125	1e-04	NA	0.00016875	0.000125	0.00015625	0.0001625	5e-05	0.00026875	NA	1e-04	NA	0.0001875
25	0.0002125	8.125e-05	0.00024375	0.000125	NA	NA	NA	8.75e-05	NA	1e-04	0.0001875	NA	NA	NA	NA	NA	NA	0.00010625	0.0001125	0.000125	0.00028125	0.0001625	0.0002875	NA	NA	0.000125	0.0002625	0.00025	0.00015	NA	0.000175	0.00025	0.0001625	0.00016875	0.00060625	NA	0.00035625	0.000175	0.00029375	2e-04	0.0001375	NA	NA	NA	0.0002375	0.00013125	0.00021875	NA	0.00018125	NA	0.00018125	NA	NA	NA	NA	NA	0.00021875	0.00014375	0.00033125	NA	NA	NA	NA	0.00019375	0.000175	7.5e-05	NA	0.0001375	0.0002625	NA	NA	NA	8.75e-05	0.00014375	0.00016875	NA	NA	0.00019375	NA	0.000125	0.00015625	NA	9.375e-05	1e-04	NA	NA	2e-04	0.000325	0.000125	NA	NA	0.00013125	0.000225	0.0002375	NA	0.000325	NA	0.00011875	NA	0.0002375
30	0.00023125	NA	0.0002875	0.0001375	NA	NA	NA	0.00010625	NA	0.00010625	0.00020625	NA	NA	NA	NA	NA	NA	0.0001125	0.00013125	NA	0.00030625	0.00019375	0.000375	NA	NA	NA	3e-04	NA	0.0001875	NA	0.00028125	0.00028125	0.0001875	0.0001875	0.000725	NA	0.00049375	0.00025625	0.00035	0.00028125	0.00015625	NA	NA	NA	0.00024375	NA	0.00023125	NA	0.0002125	NA	NA	NA	NA	NA	NA	NA	0.00026875	0.00016875	0.0004125	NA	NA	NA	NA	NA	0.00019375	8.75e-05	NA	0.00016875	0.0003375	NA	NA	NA	0.000125	NA	0.0002125	NA	NA	0.00025625	NA	0.0001375	0.00019375	NA	0.000125	0.0001125	NA	NA	0.00025	0.0003875	0.00015625	NA	NA	NA	0.00026875	0.000275	NA	0.00038125	NA	0.0001375	NA	0.00028125
35	0.0002375	NA	0.00035625	0.0001375	NA	NA	NA	0.000125	NA	0.0001125	0.0002125	NA	NA	NA	NA	NA	NA	NA	0.0001875	NA	0.00031875	0.00025	0.00045625	NA	NA	NA	0.00034375	NA	0.00025625	NA	0.00038125	0.000325	0.00023125	0.0001875	0.000925	NA	0.0006375	0.00036875	0.00040625	0.00035	0.0001875	NA	NA	NA	0.00024375	NA	0.0002375	NA	0.0002375	NA	NA	NA	NA	NA	NA	NA	0.0002875	0.0002125	0.000475	NA	NA	NA	NA	NA	0.00020625	0.00011875	NA	0.0001875	0.0003625	NA	NA	NA	0.00019375	NA	0.00025625	NA	NA	0.00028125	NA	0.00016875	0.00021875	NA	0.00015625	0.00013125	NA	NA	0.00026875	0.00044375	0.000175	NA	NA	NA	0.00029375	0.00031875	NA	0.00041875	NA	NA	NA	0.00031875
40	NA	NA	0.000425	NA	NA	NA	NA	0.00015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2e-04	NA	0.0003375	0.0003375	0.0005375	NA	NA	NA	0.00036875	NA	0.00034375	NA	0.000475	0.00038125	0.000275	NA	0.00106875	NA	0.00078125	0.00045625	0.00046875	0.00039375	0.00019375	NA	NA	NA	NA	NA	NA	NA	0.00024375	NA	NA	NA	NA	NA	NA	NA	3e-04	0.00023125	0.000525	NA	NA	NA	NA	NA	0.00021875	0.000175	NA	2e-04	0.00038125	NA	NA	NA	0.0002625	NA	0.0002625	NA	NA	0.00028125	NA	0.00018125	0.00025	NA	0.000175	0.0001375	NA	NA	0.0002875	0.00053125	0.000175	NA	NA	NA	0.00031875	0.0003375	NA	0.000425	NA	NA	NA	0.00038125
45	NA	NA	0.00049375	NA	NA	NA	NA	0.00019375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00020625	NA	0.00035	0.000425	0.00059375	NA	NA	NA	0.00038125	NA	0.00046875	NA	0.0005625	0.00044375	0.0002875	NA	0.00115625	NA	0.000875	0.00056875	0.00055625	0.00043125	0.00020625	NA	NA	NA	NA	NA	NA	NA	0.00025625	NA	NA	NA	NA	NA	NA	NA	0.000325	0.0002625	0.0005875	NA	NA	NA	NA	NA	0.000225	0.00021875	NA	0.0002125	0.00040625	NA	NA	NA	0.00030625	NA	0.0002875	NA	NA	NA	NA	0.00020625	0.0003125	NA	0.0001875	0.0001375	NA	NA	0.00029375	0.00056875	0.00019375	NA	NA	NA	0.00034375	0.00034375	NA	0.00043125	NA	NA	NA	0.0004375
50	NA	NA	0.00053125	NA	NA	NA	NA	0.000275	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000225	NA	0.0003625	0.00051875	0.00063125	NA	NA	NA	NA	NA	0.00063125	NA	0.00061875	0.00046875	3e-04	NA	0.00123125	NA	0.00095	0.000675	0.00063125	0.00046875	0.000225	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0003625	NA	0.00060625	NA	NA	NA	NA	NA	NA	0.00025	NA	NA	0.000425	NA	NA	NA	0.000325	NA	0.00031875	NA	NA	NA	NA	0.00024375	0.0003375	NA	0.00019375	NA	NA	NA	NA	0.000625	0.00020625	NA	NA	NA	0.00035625	NA	NA	0.00044375	NA	NA	NA	5e-04
55	NA	NA	0.00055	NA	NA	NA	NA	0.00031875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002375	NA	0.0003625	0.00058125	0.00064375	NA	NA	NA	NA	NA	0.0007875	NA	0.00068125	0.00048125	3e-04	NA	0.0013	NA	0.00106875	0.00085	0.0007875	0.00054375	0.000225	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00038125	NA	0.0006625	NA	NA	NA	NA	NA	NA	0.00026875	NA	NA	0.00043125	NA	NA	NA	0.00035	NA	0.0003625	NA	NA	NA	NA	0.0002625	0.00039375	NA	0.0002125	NA	NA	NA	NA	0.000675	0.0002125	NA	NA	NA	0.00039375	NA	NA	0.00045	NA	NA	NA	0.00056875
